URL,Language
https://www.g-agri.rd.pref.gifu.lg.jp/taihi_manual/documents/part1.ppt,Japanese
https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/027/221/torii.ppt,Japanese
https://cogpsy.sfc.keio.ac.jp/cogpsy/07a_ns06.ppt,Japanese
http://www.chem.kumamoto-u.ac.jp/~goto/pdf/safety_training.ppt,Japanese
https://www.shiga-ec.ed.jp/www/contents/1454563563505/files/tabemono-kuizu.ppt,Japanese
https://www.lab.toho-u.ac.jp/med/ohashi/ped/trainee/staff_diary/files/omoredo.ppt,Japanese
https://www.biogreen.jp/ppt/001_bachirusu.ppt,Japanese
http://www.maruyama-dental.com/wp/wp-content/uploads/2017/04/b15794be8a67d3648f76548129bda9de.ppt,Japanese
http://www.shuri-jc.jp/tana_clinic/kenkou_report44.ppt,Japanese
http://ds.cc.yamaguchi-u.ac.jp/~nishiguc/down_load/text/chap%209%20lipids.ppt,Japanese
https://ref.or.jp/file/05_urimibae.ppt,Japanese
http://www.10nin10iro.net/download/10nin10iro_Ver1.ppt,Japanese
http://www.netvalley.webone.ne.jp/pp-3-07-shokuhin-kankyou.ppt,Japanese
https://www.funa-med.com/health_file/high-bp.ppt,Japanese
http://plaza.umin.ac.jp/phnet/intro.ppt,Japanese
http://contents.hokkaido-c.ed.jp/report/r-02/h15/2003/0334/kabocha.PPT,Japanese
https://square.umin.ac.jp/mayanagi/paper02/ryouri.ppt,Japanese
https://www.cc.mie-u.ac.jp/~lo20100/kasei/shokuhin/koshinkoshu_h22.ppt,Japanese
http://www2.itc.kansai-u.ac.jp/~saiton/img/ppt_lesson/patents_3_bio.ppt,Japanese
https://img.atwiki.jp/penta5n/attach/15/5/%E3%83%90%E3%83%B3%E3%83%80%E3%82%A4%E3%83%8A%E3%83%A0%E3%82%B3%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97%E7%B5%84%E7%B9%94%E5%9B%B3%E6%A6%82%E8%A6%81%E3%80%91.ppt,Japanese
